time,mrid,battery,phases,p_a,p_b,p_c,soc
1672575600,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,33.333333333,33.333333333,33.333333333,27.641310316784022
1672575600,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,50.0,50.0,50.0,41.880732398517786
1672575600,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,41.666666667,41.666666667,41.666666667,28.07022669898694
1672576200,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,83.333333333,83.333333333,83.333333333,42.63485362964032
1672576200,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,66.666666667,66.666666667,66.666666667,37.688724574073234
1672576200,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,33.333333333,33.333333333,33.333333333,31.600538460195455
1672576200,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,50.0,50.0,50.0,46.6318061706115
1672576200,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,41.666666667,41.666666667,41.666666667,32.02945484239837
1672576800,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,65.023806421,65.023806421,65.023806421,46.901730081915474
1672576800,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,66.666666667,66.666666667,66.666666667,42.96769543195511
1672576800,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,33.333333333,33.333333333,33.333333333,35.55976660360688
1672576800,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,50.0,50.0,50.0,51.38287994270521
1672576800,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,41.666666667,41.666666667,41.666666667,35.9886829858098
1672577400,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,70.769213916,70.769213916,70.769213916,51.32586434275913
1672577400,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,66.666666667,66.666666667,66.666666667,48.24666628983698
1672577400,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,33.333333333,33.333333333,33.333333333,39.51899474701832
1672577400,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,52.38852389113171
1672577400,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,41.666666667,41.666666667,41.666666667,39.94791112922123
1672578000,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,54.164012571,54.164012571,54.164012571,54.80463071542945
1672578000,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,66.666666667,66.666666667,66.666666667,53.525637147718854
1672578000,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,33.333333333,33.333333333,33.333333333,43.47822289042974
1672578000,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,52.38852389113171
1672578000,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,41.666666667,41.666666667,41.666666667,43.907139272632655
1672578600,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,53.894764333,53.894764333,53.894764333,58.25080128968608
1672578600,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,66.666666667,66.666666667,66.666666667,58.80460800560072
1672578600,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,33.333333333,33.333333333,33.333333333,47.43745103384117
1672578600,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,52.38852389113171
1672578600,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,41.666666667,41.666666667,41.666666667,47.866367416044085
1672579200,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,64.284046803,64.284046803,64.284046803,62.31708646592695
1672579200,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,66.666666667,66.666666667,66.666666667,64.08357886348259
1672579200,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,0.0,-0.0,0.0,47.61561630029468
1672579200,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,52.38852389113171
1672579200,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,41.666666667,41.666666667,41.666666667,51.82559555945551
1672579800,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-0.0,0.0,0.0,62.60377722852263
1672579800,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,66.666666667,66.666666667,66.666666667,69.36254972136446
1672579800,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,0.0,-0.0,0.0,47.61561630029468
1672579800,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,50.0,50.0,50.0,56.80702249917887
1672579800,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,27.814756874,27.814756874,27.814756874,54.5813249910016
1672580400,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-0.0,0.0,0.0,62.60377722852263
1672580400,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,53.710908004,53.710908004,53.710908004,73.720079284236
1672580400,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,0.0,-0.0,0.0,47.61561630029468
1672580400,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,57.20294531352002
1672580400,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,41.666666667,41.666666667,41.666666667,58.43271274804517
1672581000,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-0.0,0.0,0.0,62.60377722852263
1672581000,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,37.825359193,37.825359193,37.825359193,76.93287288615623
1672581000,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,0.0,-0.0,0.0,47.61561630029468
1672581000,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,57.20294531352002
1672581000,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,41.666666667,41.666666667,41.666666667,62.3919408914566
1672581600,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-0.0,0.0,0.0,62.60377722852263
1672581600,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,62.507609902999995,62.507609902999995,62.507609902999995,81.77443055630737
1672581600,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,0.0,-0.0,0.0,47.61561630029468
1672581600,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,57.20294531352002
1672581600,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-0.0,0.0,0.0,62.629494580061284
1672582200,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,52.194059026000005,52.194059026000005,52.194059026000005,65.65765666810867
1672582200,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-0.0,-0.0,-0.0,82.19580243795619
1672582200,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,0.0,-0.0,0.0,47.61561630029468
1672582200,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,57.20294531352002
1672582200,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-0.0,0.0,0.0,62.629494580061284
1672582800,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-0.0,0.0,0.0,65.67990715582879
1672582800,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,0.0,-0.0,0.0,82.19580243795619
1672582800,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,28.748158883,28.748158883,28.748158883,51.01911281367162
1672582800,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,57.20294531352002
1672582800,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-0.0,0.0,0.0,62.629494580061284
1672583400,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-0.0,0.0,0.0,65.67990715582879
