time,battery,phases,p_batt_a,p_batt_b,p_batt_c,soc
1704207152,battery3,ABC,0.0,-0.0,0.0,34.83449880249389
1704207152,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,58.96135652100804
1704207152,battery5,ABC,0.0,-0.0,0.0,55.043991423815676
1704207182,battery2,ABC,-0.0,0.0,0.0,40.04399142381567
1704207182,battery4,ABC,-47.190774516,-47.190774516,-47.190774516,73.99269680056302
1704207182,battery3,ABC,0.0,-0.0,0.0,34.83449880249389
1704207182,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,58.74265508287464
1704207182,battery5,ABC,0.0,-0.0,0.0,55.043991423815676
1704207212,battery2,ABC,-0.0,0.0,0.0,40.04399142381567
1704207212,battery4,ABC,-48.283569014,-48.283569014,-48.283569014,73.74005966420413
1704207212,battery3,ABC,0.0,-0.0,0.0,34.83449880249389
1704207212,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,58.52395364474123
1704207212,battery5,ABC,0.0,-0.0,0.0,55.043991423815676
1704207242,battery2,ABC,-0.0,0.0,0.0,40.04399142381567
1704207242,battery4,ABC,-48.30533135,-48.30533135,-48.30533135,73.48673132389749
1704207242,battery3,ABC,0.0,-0.0,0.0,34.83449880249389
1704207242,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,58.305252206607825
1704207242,battery5,ABC,0.0,-0.0,0.0,55.043991423815676
1704207272,battery2,ABC,-0.0,0.0,0.0,40.04399142381567
1704207272,battery4,ABC,-46.305211985,-46.305211985,-46.305211985,73.24304175600285
1704207272,battery3,ABC,0.0,-0.0,0.0,34.83449880249389
1704207272,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,58.086550768474424
1704207272,battery5,ABC,0.0,-0.0,0.0,55.043991423815676
1704207302,battery2,ABC,-0.0,0.0,0.0,40.04399142381567
1704207302,battery4,ABC,-46.265443131,-46.265443131,-46.265443131,73.00061615072347
1704207302,battery3,ABC,0.0,-0.0,0.0,34.83449880249389
