time,mrid,phase,p,q
1672534200,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,552245.844521,-76490.182504
1672534200,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,624131.928709,-38591.52504600001
1672534260,_903a0e85-6a11-4b8e-82cf-163376df7764,A,699968.806524,12776.514105
1672534260,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,550432.523305,-77631.48658
1672534260,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,621830.06126,-39992.33104899999
1672534358,_903a0e85-6a11-4b8e-82cf-163376df7764,A,649608.318815,7772.167857000001
1672534358,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,500147.470856,-82043.106399
1672534358,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,571545.00143,-44305.565048000004
1672534380,_903a0e85-6a11-4b8e-82cf-163376df7764,A,647852.332341,6671.335955
1672534380,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,499016.018229,-82749.84764600001
1672534380,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,570109.6032219998,-45173.319411
1672534440,_903a0e85-6a11-4b8e-82cf-163376df7764,A,648852.951185,7298.506718000001
1672534440,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,499660.751189,-82347.142102
1672534440,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,570927.4144430001,-44678.801832
1672534500,_903a0e85-6a11-4b8e-82cf-163376df7764,A,649585.774372,7757.878607
1672534500,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,500132.939629,-82052.186914
1672534500,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,571526.22483,-44316.53123100001
1672534560,_903a0e85-6a11-4b8e-82cf-163376df7764,A,649663.284304,7806.506333
1672534560,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,500182.882,-82020.98896
1672534560,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,571589.4408679999,-44278.154117
1672534620,_903a0e85-6a11-4b8e-82cf-163376df7764,A,648430.160031,7033.493188999999
1672534620,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,499388.330416,-82517.30305
1672534620,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,570581.797117,-44887.723437
1672534680,_903a0e85-6a11-4b8e-82cf-163376df7764,A,649630.87021,7786.150455000002
1672534680,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,500161.9972599999,-82034.03515900002
1672534680,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,571563.104162,-44294.252165
1672534740,_903a0e85-6a11-4b8e-82cf-163376df7764,A,645127.904376,4964.201875000001
1672534740,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,497260.633211,-83846.090669
1672534740,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,567883.291642,-46519.662396
1672534800,_903a0e85-6a11-4b8e-82cf-163376df7764,A,643783.195111,4121.874270999999
1672534800,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,496394.251168,-84387.04864099999
1672534800,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,566784.753418,-47184.183333
1672534860,_903a0e85-6a11-4b8e-82cf-163376df7764,A,646667.0353960001,5928.561561000002
